Device GV100
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_miss                     # of sector requests to T-Stage that missed for TLD instructions                                 
lts__t_sectors_srcunit_l1_aperture_sysmem_op_membar_lookup_miss             # of LTS sectors from unit L1 accessing system memory (sysmem) for memory barriers that missed   
lts__t_sectors_srcunit_l1_op_atom_dot_cas                                   # of LTS sectors from unit L1 for atomic CAS                                                     
smsp__inst_executed_op_global_red_pred_off_all                              # of warp instructions executed with all threads predicated off: RED                             
l1tex__texin_requests_mem_surface_op_st                                     # of requests sent to TEXIN for surface store instructions (SUST)                                
smsp__warps_eligible                                                        cumulative # of warps eligible to issue an instruction                                           
smsp__inst_executed_op_local_ld                                             # of warp instructions executed: LDL                                                             
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_texture                        # of bytes requested for texture                                                                 
lts__t_requests_srcunit_tex_op_atom_dot_alu                                 # of LTS requests from unit TEX for atomic ALU (non-CAS)                                         
smsp__inst_executed_pipe_ipa                                                # of warp instructions executed by ipa pipe                                                      
lts__t_sectors_srcunit_l1_aperture_peer_op_write_lookup_hit                 # of LTS sectors from unit L1 accessing peer memory (peermem) for writes that hit                
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_red                  # of bytes requested for global reductions                                                       
lts__t_requests_srcunit_l1_aperture_peer_op_membar_lookup_miss              # of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers that missed   
